fname,structure,h_min,w_min,h_max,w_max
331.png,NT,394,352,424,717
331.png,thalami,234,250,293,338
331.png,IT,348,295,374,363
331.png,nasal skin,150,388,157,413
331.png,nasal tip,143,415,151,440
331.png,nasal bone,161,395,170,420
331.png,palate,185,377,246,484
36.png,nasal skin,100,306,111,325
36.png,palate,139,289,194,370
36.png,nasal tip,97,321,106,344
36.png,NT,341,213,363,433
36.png,thalami,158,156,227,247
36.png,CM,307,183,326,271
36.png,midbrain,231,154,306,212
36.png,nasal bone,109,295,123,327
36.png,IT,275,188,303,247
888.png,thalami,207,183,281,277
888.png,NT,416,206,463,430
888.png,midbrain,287,173,382,248
888.png,IT,348,222,376,268
888.png,CM,379,181,410,309
888.png,nasal tip,112,365,122,397
888.png,nasal bone,119,340,131,373
888.png,palate,167,322,242,423
1548.png,CM,317,246,350,326
1548.png,IT,287,261,315,324
1548.png,midbrain,239,205,318,279
1548.png,palate,115,338,178,438
1548.png,nasal skin,64,350,72,377
1548.png,nasal tip,55,377,66,406
1548.png,thalami,164,211,236,308
1548.png,nasal bone,73,337,88,378
1548.png,NT,363,272,385,481
889.png,nasal tip,103,289,112,320
889.png,NT,386,184,434,510
889.png,CM,340,360,371,418
889.png,nasal skin,108,319,117,339
889.png,nasal bone,115,315,128,350
889.png,palate,151,257,209,368
819.png,nasal tip,99,367,110,402
819.png,palate,145,295,218,432
819.png,IT,292,229,328,313
819.png,midbrain,235,184,332,232
819.png,thalami,170,193,232,277
819.png,NT,362,264,394,488
819.png,CM,326,209,351,319
332.png,nasal bone,79,338,93,383
332.png,CM,321,216,354,314
332.png,IT,285,219,322,280
332.png,midbrain,227,152,322,245
332.png,NT,365,215,388,432
332.png,palate,126,327,189,428
332.png,thalami,151,174,224,281
332.png,nasal skin,70,358,77,391
332.png,nasal tip,66,380,73,417
333.png,thalami,180,363,246,459
333.png,nasal tip,87,253,96,282
333.png,nasal skin,90,278,101,309
333.png,nasal bone,102,267,112,313
333.png,palate,129,215,196,321
333.png,NT,365,2,399,411
333.png,midbrain,253,391,340,452
333.png,IT,303,340,335,408
333.png,CM,338,328,368,441
334.png,nasal tip,65,433,70,452
334.png,CM,297,313,321,374
334.png,IT,266,299,286,350
334.png,nasal bone,77,393,88,430
334.png,NT,338,318,381,486
334.png,thalami,149,261,209,341
334.png,palate,121,381,174,482
334.png,midbrain,213,267,285,321
335.png,thalami,179,426,252,527
335.png,midbrain,250,456,356,524
335.png,IT,314,416,350,479
335.png,CM,352,387,374,506
335.png,nasal tip,90,312,101,342
335.png,nasal bone,101,332,117,368
335.png,palate,137,275,214,375
335.png,NT,387,85,421,470
336.png,nasal tip,89,251,98,282
336.png,IT,299,359,335,419
336.png,nasal skin,94,272,104,303
336.png,thalami,168,376,242,465
336.png,NT,368,111,397,414
336.png,midbrain,247,402,335,487
336.png,CM,325,303,358,424
336.png,nasal bone,105,277,116,306
336.png,palate,141,227,200,320
337.png,IT,298,362,318,422
337.png,midbrain,242,321,322,389
337.png,NT,371,379,403,635
337.png,CM,328,358,349,466
337.png,thalami,176,321,240,412
337.png,nasal tip,106,495,113,517
337.png,nasal skin,107,473,114,499
337.png,nasal bone,113,449,126,502
337.png,palate,149,442,212,544
37.png,midbrain,248,231,336,317
37.png,NT,369,314,400,702
37.png,IT,307,291,336,351
37.png,CM,340,268,362,398
37.png,thalami,156,248,241,361
37.png,nasal bone,97,411,110,448
37.png,palate,135,397,198,510
37.png,nasal tip,85,445,94,472
890.png,nasal tip,75,345,82,372
890.png,nasal skin,80,319,89,348
890.png,nasal bone,89,319,96,342
890.png,palate,113,319,186,408
890.png,thalami,166,176,231,258
890.png,NT,327,183,381,525
890.png,midbrain,238,180,315,238
890.png,CM,309,244,344,319
890.png,IT,289,225,314,276
891.png,thalami,161,343,222,425
891.png,NT,339,116,370,393
891.png,IT,268,340,295,407
891.png,CM,300,310,335,414
891.png,nasal bone,108,251,118,289
891.png,midbrain,220,387,294,451
891.png,nasal skin,101,240,109,278
891.png,nasal tip,97,222,105,251
891.png,palate,139,213,194,316
820.png,IT,312,381,340,468
820.png,CM,345,377,375,523
820.png,midbrain,249,463,344,531
820.png,NT,368,15,406,465
820.png,palate,149,245,210,368
820.png,thalami,163,424,244,528
114.png,IT,305,251,338,314
114.png,midbrain,250,192,343,273
114.png,NT,368,221,409,674
114.png,palate,145,339,214,455
114.png,nasal bone,121,349,132,384
114.png,nasal skin,108,357,117,382
114.png,nasal tip,102,386,111,408
114.png,thalami,179,208,246,305
114.png,CM,336,244,369,337
338.png,palate,145,336,210,440
338.png,NT,385,357,415,672
338.png,midbrain,260,198,347,270
338.png,thalami,181,209,261,308
338.png,CM,345,242,371,343
338.png,nasal tip,99,386,108,416
338.png,nasal skin,104,358,114,389
338.png,nasal bone,115,355,126,396
338.png,IT,311,250,348,293
339.png,NT,362,181,390,347
339.png,midbrain,236,353,326,431
339.png,thalami,173,323,239,410
339.png,CM,325,285,352,388
339.png,palate,119,187,190,291
339.png,IT,291,294,321,366
339.png,nasal bone,90,235,103,284
339.png,nasal skin,81,243,88,268
339.png,nasal tip,76,216,84,247
340.png,NT,387,302,440,607
340.png,thalami,230,257,295,337
340.png,midbrain,293,257,363,307
340.png,CM,358,264,383,357
340.png,nasal tip,190,407,197,425
340.png,nasal skin,193,388,197,407
340.png,nasal bone,198,384,209,416
340.png,palate,220,370,268,450
340.png,IT,335,280,362,332
341.png,thalami,201,378,277,473
341.png,NT,417,134,456,378
341.png,midbrain,276,409,373,489
341.png,IT,335,355,373,437
341.png,CM,371,312,401,418
341.png,palate,147,237,223,342
342.png,IT,338,187,376,241
342.png,CM,380,162,407,281
342.png,palate,155,269,246,400
342.png,nasal bone,117,303,133,340
342.png,nasal tip,101,337,110,362
342.png,NT,388,216,448,673
342.png,thalami,201,139,287,252
342.png,nasal skin,108,310,119,339
342.png,midbrain,296,126,377,216
38.png,nasal bone,118,305,128,334
38.png,nasal tip,103,327,112,354
38.png,nasal skin,108,312,116,336
38.png,palate,151,283,209,380
38.png,midbrain,237,147,331,213
38.png,CM,317,220,350,265
38.png,IT,294,188,325,261
38.png,NT,356,251,380,484
38.png,thalami,157,160,234,257
892.png,CM,385,347,415,448
892.png,IT,353,355,380,415
892.png,NT,424,322,457,418
892.png,thalami,222,381,294,470
892.png,nasal tip,143,262,148,280
892.png,nasal skin,144,276,151,297
892.png,midbrain,293,396,386,469
892.png,palate,187,235,248,330
892.png,nasal bone,153,279,164,314
893.png,CM,346,401,370,454
893.png,IT,303,406,355,475
893.png,midbrain,244,463,352,538
893.png,NT,363,23,419,530
893.png,palate,153,247,216,346
134.png,midbrain,194,376,266,426
134.png,IT,248,344,266,391
134.png,palate,121,215,176,310
134.png,nasal tip,79,233,90,274
134.png,thalami,129,324,193,417
134.png,CM,274,301,302,394
134.png,NT,311,271,339,383
343.png,IT,304,293,339,349
343.png,midbrain,242,230,351,304
343.png,thalami,163,241,238,342
343.png,NT,384,286,418,483
343.png,CM,342,265,373,412
343.png,palate,127,385,196,488
343.png,nasal tip,75,443,86,470
343.png,nasal skin,76,422,87,449
343.png,nasal bone,84,411,100,447
344.png,CM,315,244,345,365
344.png,palate,127,331,182,432
344.png,nasal bone,95,338,104,378
344.png,nasal skin,86,352,96,379
344.png,thalami,154,220,226,317
344.png,NT,358,276,395,638
344.png,midbrain,231,213,323,280
344.png,nasal tip,83,375,90,410
344.png,IT,283,275,308,343
345.png,nasal bone,77,315,90,349
345.png,nasal skin,69,328,79,349
345.png,thalami,147,169,231,265
345.png,palate,116,311,176,398
345.png,nasal tip,67,345,74,374
345.png,CM,320,184,346,304
345.png,IT,286,228,313,280
345.png,midbrain,235,159,325,235
345.png,NT,353,247,398,394
346.png,CM,338,197,372,319
346.png,IT,303,209,329,271
346.png,midbrain,248,162,334,237
346.png,NT,385,226,418,378
346.png,thalami,162,179,242,275
346.png,palate,143,305,210,426
346.png,nasal tip,89,359,98,388
346.png,nasal bone,103,325,114,364
346.png,nasal skin,94,344,105,367
347.png,midbrain,252,170,343,260
347.png,nasal bone,111,357,126,388
347.png,nasal skin,102,373,111,393
347.png,nasal tip,99,391,108,416
347.png,palate,153,341,218,442
347.png,thalami,173,202,249,299
347.png,IT,309,241,337,301
347.png,CM,342,234,364,302
347.png,NT,388,244,429,429
348.png,nasal skin,92,401,104,426
348.png,thalami,157,231,229,325
348.png,midbrain,233,218,318,294
348.png,CM,329,248,363,349
348.png,IT,292,268,314,321
348.png,nasal tip,89,428,97,450
348.png,nasal bone,102,385,111,425
348.png,NT,384,302,418,638
348.png,palate,137,357,213,466
39.png,nasal tip,85,263,94,300
39.png,thalami,175,380,247,479
39.png,NT,364,2,408,395
39.png,midbrain,248,412,341,492
39.png,IT,308,372,340,434
39.png,CM,342,310,369,431
39.png,nasal skin,90,290,100,316
39.png,nasal bone,102,287,116,322
39.png,palate,137,221,210,350
894.png,CM,351,325,386,462
894.png,IT,319,384,355,434
894.png,midbrain,266,417,355,491
894.png,NT,394,1,418,401
894.png,thalami,194,395,271,488
894.png,nasal tip,111,245,118,272
894.png,nasal bone,125,273,138,308
894.png,palate,155,213,222,326
894.png,nasal skin,116,278,124,305
1549.png,midbrain,221,146,321,234
1549.png,IT,283,217,313,279
1549.png,CM,314,196,341,295
1549.png,thalami,159,166,225,264
1549.png,nasal bone,88,310,101,350
1549.png,nasal skin,79,322,87,349
1549.png,nasal tip,73,353,80,372
1549.png,palate,125,302,182,404
1549.png,NT,353,221,379,421
135.png,palate,180,386,234,472
135.png,NT,396,310,411,572
135.png,nasal skin,141,396,151,424
135.png,nasal tip,136,412,146,445
135.png,thalami,192,213,275,358
135.png,CM,367,211,387,388
135.png,nasal bone,152,382,168,425
135.png,IT,327,221,357,356
135.png,midbrain,281,187,362,248
349.png,NT,348,1,394,437
349.png,midbrain,245,435,339,517
349.png,IT,307,406,339,449
349.png,palate,141,261,208,356
349.png,nasal bone,114,311,123,338
349.png,nasal skin,106,306,112,336
349.png,nasal tip,99,283,111,315
349.png,thalami,176,389,248,495
349.png,CM,333,370,368,474
350.png,midbrain,245,434,342,508
350.png,NT,367,269,424,492
350.png,IT,301,374,336,452
350.png,CM,345,331,376,463
350.png,nasal bone,121,287,132,336
350.png,palate,158,235,220,356
350.png,thalami,159,404,237,489
351.png,nasal tip,67,279,76,310
351.png,nasal skin,70,304,81,333
351.png,nasal bone,82,311,94,352
351.png,palate,109,247,174,360
351.png,IT,261,373,303,446
351.png,midbrain,217,427,302,506
351.png,NT,302,49,356,446
351.png,thalami,152,392,219,486
351.png,CM,287,327,317,443
352.png,nasal bone,97,317,112,372
352.png,palate,139,309,212,417
352.png,nasal skin,86,342,96,370
352.png,thalami,179,161,245,259
352.png,midbrain,246,150,340,232
352.png,NT,392,222,421,400
352.png,nasal tip,83,365,93,394
352.png,CM,352,174,374,288
352.png,IT,308,207,342,271
353.png,CM,399,235,439,337
353.png,midbrain,311,188,407,257
353.png,NT,441,233,471,477
353.png,thalami,240,190,305,291
353.png,nasal tip,161,383,168,414
353.png,IT,365,230,400,297
353.png,nasal bone,177,343,189,388
353.png,palate,209,333,270,442
353.png,nasal skin,166,350,175,383
354.png,nasal tip,113,235,122,264
354.png,nasal bone,125,260,135,296
354.png,palate,167,223,218,318
354.png,thalami,160,361,240,463
354.png,NT,364,101,397,427
354.png,midbrain,238,417,332,501
354.png,IT,296,367,326,426
354.png,CM,328,357,358,440
40.png,palate,158,317,234,429
40.png,CM,359,199,387,330
40.png,IT,327,234,357,315
40.png,midbrain,270,165,366,255
40.png,nasal bone,125,333,138,368
40.png,thalami,204,193,272,275
40.png,nasal skin,114,343,123,367
40.png,nasal tip,109,363,116,384
40.png,NT,396,244,423,457
895.png,IT,346,231,367,301
895.png,thalami,218,211,292,311
895.png,NT,422,245,452,423
895.png,midbrain,298,179,376,269
895.png,CM,375,231,404,309
895.png,nasal skin,148,388,159,421
895.png,nasal tip,143,413,152,452
895.png,palate,193,365,257,461
895.png,nasal bone,157,377,170,418
896.png,CM,318,219,343,354
896.png,IT,284,236,316,294
896.png,midbrain,218,195,320,264
896.png,NT,306,238,389,656
896.png,thalami,154,204,220,300
897.png,nasal tip,101,370,108,394
897.png,nasal skin,104,352,112,379
897.png,nasal bone,118,335,128,370
897.png,palate,161,313,226,447
897.png,thalami,186,176,270,284
897.png,CM,367,289,401,374
897.png,IT,333,223,387,348
897.png,midbrain,274,154,390,242
897.png,NT,406,203,446,437
136.png,CM,344,272,360,340
136.png,IT,315,294,345,351
136.png,palate,197,209,246,288
136.png,nasal bone,175,255,183,279
136.png,nasal skin,164,252,173,271
136.png,nasal tip,159,225,168,258
136.png,midbrain,277,344,349,390
136.png,NT,343,56,383,341
136.png,thalami,220,327,276,386
355.png,midbrain,217,469,311,549
355.png,CM,313,404,337,480
355.png,thalami,146,426,217,526
355.png,NT,338,103,369,480
355.png,IT,269,410,306,494
355.png,nasal tip,77,323,86,352
355.png,palate,127,297,186,390
356.png,nasal skin,100,278,109,305
356.png,palate,143,229,208,346
356.png,nasal tip,95,255,104,288
356.png,thalami,157,383,233,487
356.png,NT,363,100,394,414
356.png,midbrain,228,431,319,511
356.png,IT,285,373,315,456
356.png,CM,322,349,352,469
356.png,nasal bone,113,277,122,316
357.png,thalami,188,244,235,309
357.png,palate,159,153,208,214
357.png,nasal bone,137,187,149,211
357.png,nasal skin,130,189,139,207
357.png,nasal tip,127,171,132,194
357.png,NT,321,156,340,281
357.png,midbrain,230,259,297,300
357.png,CM,291,197,314,289
357.png,IT,272,227,293,269
358.png,IT,325,256,360,316
358.png,midbrain,262,204,362,272
358.png,NT,385,273,438,702
358.png,thalami,184,226,259,315
358.png,palate,171,363,234,458
358.png,nasal bone,136,360,146,407
358.png,nasal tip,117,409,126,436
358.png,CM,363,230,390,338
359.png,nasal tip,99,301,108,332
359.png,CM,352,381,387,471
359.png,palate,147,271,230,380
359.png,midbrain,258,457,363,527
359.png,NT,393,323,433,491
359.png,nasal bone,113,331,126,366
359.png,thalami,197,416,267,516
359.png,IT,318,402,357,468
359.png,nasal skin,106,330,115,357
41.png,nasal tip,143,353,154,390
41.png,nasal bone,157,319,172,371
41.png,palate,201,319,270,422
41.png,midbrain,311,139,410,211
41.png,CM,405,195,439,280
41.png,thalami,228,155,303,264
41.png,NT,449,204,474,610
41.png,IT,371,182,408,250
1550.png,nasal tip,81,233,90,264
1550.png,nasal skin,88,252,96,281
1550.png,midbrain,240,377,327,445
1550.png,palate,129,203,188,296
1550.png,thalami,162,341,243,441
1550.png,NT,365,82,428,394
1550.png,IT,295,331,324,402
1550.png,CM,322,296,345,414
1550.png,nasal bone,101,253,114,286
898.png,thalami,197,367,272,462
898.png,NT,421,4,458,400
898.png,midbrain,277,395,379,481
898.png,palate,161,211,236,312
898.png,nasal bone,121,265,137,304
898.png,nasal tip,105,239,112,268
898.png,IT,337,350,374,418
898.png,CM,379,351,405,440
899.png,thalami,209,175,294,272
899.png,NT,430,201,460,673
899.png,CM,397,229,428,316
899.png,midbrain,299,146,399,224
899.png,IT,350,204,394,280
899.png,nasal skin,128,335,141,363
899.png,palate,177,305,246,422
899.png,nasal tip,123,359,132,386
899.png,nasal bone,143,327,154,361
137.png,nasal tip,159,294,166,314
137.png,nasal skin,168,317,176,338
137.png,nasal bone,174,310,186,336
137.png,palate,190,274,244,330
137.png,CM,353,337,368,382
137.png,IT,329,331,351,377
137.png,midbrain,293,372,347,408
137.png,NT,354,195,370,283
137.png,thalami,246,355,292,416
360.png,IT,336,347,371,408
360.png,midbrain,276,390,367,473
360.png,NT,408,216,436,406
360.png,thalami,203,373,276,475
360.png,CM,369,318,391,406
360.png,palate,171,213,240,321
360.png,nasal bone,135,257,148,300
360.png,nasal tip,121,241,130,264
361.png,thalami,219,219,289,302
361.png,palate,161,331,238,434
361.png,nasal bone,137,353,144,384
361.png,nasal skin,126,349,133,377
361.png,nasal tip,117,377,122,400
361.png,NT,375,394,415,666
361.png,midbrain,287,206,373,281
361.png,IT,344,265,367,312
361.png,CM,370,242,394,315
362.png,CM,369,351,390,495
362.png,IT,334,390,370,454
362.png,NT,398,269,421,456
362.png,midbrain,280,433,370,507
362.png,thalami,210,401,279,503
362.png,palate,181,277,246,360
363.png,palate,107,257,157,352
363.png,CM,284,186,308,262
363.png,IT,253,171,283,236
363.png,midbrain,214,130,284,187
363.png,nasal skin,64,272,73,297
363.png,thalami,146,139,211,219
363.png,nasal tip,59,295,66,318
363.png,nasal bone,74,265,88,301
363.png,NT,309,184,338,385
364.png,NT,375,252,432,675
364.png,midbrain,246,139,351,231
364.png,IT,308,215,345,284
364.png,CM,350,243,369,299
364.png,thalami,157,171,240,270
365.png,CM,292,285,311,417
365.png,thalami,139,262,208,339
365.png,NT,319,261,357,573
365.png,midbrain,213,258,288,319
365.png,IT,254,303,287,393
365.png,nasal tip,47,431,56,464
365.png,nasal skin,56,402,66,432
365.png,nasal bone,68,403,78,436
365.png,palate,93,409,158,486
42.png,NT,383,2,409,391
42.png,IT,312,344,336,408
42.png,CM,346,306,365,400
42.png,thalami,190,372,253,453
42.png,midbrain,256,386,348,462
900.png,NT,375,175,409,495
900.png,midbrain,243,177,345,263
900.png,IT,305,233,331,294
900.png,CM,334,228,363,306
900.png,nasal tip,69,343,78,384
900.png,thalami,159,194,247,302
900.png,nasal bone,87,311,98,362
1551.png,thalami,160,374,234,462
1551.png,NT,356,42,404,432
1551.png,midbrain,242,416,326,495
1551.png,IT,294,373,322,443
1551.png,CM,329,313,359,435
901.png,nasal tip,79,295,86,316
901.png,thalami,155,406,233,497
901.png,NT,347,157,379,443
901.png,IT,276,387,314,450
901.png,CM,307,372,337,446
901.png,midbrain,231,436,318,500
901.png,nasal bone,92,315,104,346
901.png,nasal skin,84,316,95,335
901.png,palate,123,275,190,351
366.png,NT,372,234,405,445
366.png,midbrain,248,213,343,279
366.png,IT,304,252,338,326
366.png,CM,335,234,372,330
366.png,nasal tip,73,393,78,408
366.png,nasal skin,80,364,87,387
366.png,nasal bone,91,365,98,392
366.png,palate,125,337,208,446
366.png,thalami,174,205,250,308
367.png,nasal tip,129,311,138,334
367.png,nasal bone,145,331,154,362
367.png,palate,177,283,234,400
367.png,IT,325,395,352,471
367.png,NT,383,2,456,460
367.png,CM,355,369,383,478
367.png,midbrain,269,444,357,511
367.png,thalami,207,410,274,500
368.png,midbrain,306,406,371,450
368.png,thalami,246,397,324,487
368.png,CM,359,330,390,424
368.png,IT,343,373,366,430
368.png,NT,398,235,428,471
369.png,thalami,167,162,253,259
369.png,NT,366,250,429,622
369.png,nasal tip,83,338,93,369
369.png,nasal skin,91,319,99,350
369.png,nasal bone,100,316,113,353
369.png,midbrain,259,136,370,216
369.png,CM,361,215,381,311
369.png,IT,328,201,365,249
43.png,thalami,129,379,185,445
43.png,NT,227,22,279,294
43.png,midbrain,182,407,257,453
43.png,nasal tip,51,285,60,306
43.png,nasal skin,56,309,65,327
43.png,nasal bone,62,309,72,333
43.png,palate,85,261,144,332
902.png,NT,399,127,421,413
902.png,midbrain,275,120,368,185
902.png,thalami,192,128,275,224
902.png,nasal bone,147,277,154,308
902.png,nasal skin,136,284,147,314
902.png,CM,372,173,393,230
902.png,IT,323,172,360,220
903.png,NT,386,222,426,344
903.png,thalami,174,332,255,442
903.png,IT,316,338,342,376
903.png,midbrain,251,368,360,454
903.png,CM,344,282,374,369
904.png,thalami,179,325,255,411
904.png,NT,360,8,379,344
904.png,midbrain,253,363,340,419
904.png,IT,297,313,334,373
904.png,nasal tip,123,223,134,246
904.png,palate,165,201,228,294
904.png,nasal bone,137,241,149,272
904.png,nasal skin,126,242,139,272
904.png,CM,334,290,353,346
138.png,nasal skin,82,283,91,314
138.png,nasal tip,80,263,90,288
138.png,IT,289,360,321,439
138.png,nasal bone,95,281,104,326
138.png,midbrain,242,427,330,501
138.png,NT,367,217,401,397
138.png,thalami,160,391,238,475
138.png,CM,323,366,359,450
138.png,palate,129,238,207,374
370.png,IT,362,352,409,396
370.png,nasal skin,148,283,157,317
370.png,nasal bone,161,287,176,330
370.png,palate,185,239,260,332
370.png,midbrain,307,395,411,465
370.png,thalami,245,365,312,461
370.png,nasal tip,143,269,150,290
370.png,NT,427,259,461,394
371.png,nasal bone,83,281,94,308
371.png,IT,233,342,258,398
371.png,midbrain,195,387,260,433
371.png,NT,294,121,315,306
371.png,thalami,137,371,192,432
371.png,nasal skin,72,276,85,303
371.png,nasal tip,69,253,80,280
371.png,palate,111,229,162,314
371.png,CM,264,321,297,396
372.png,nasal tip,111,341,124,372
372.png,nasal skin,116,322,125,352
372.png,nasal bone,123,313,136,360
372.png,palate,155,297,230,408
372.png,IT,309,218,335,261
372.png,thalami,186,183,254,260
372.png,NT,370,234,390,466
372.png,midbrain,249,174,336,231
372.png,CM,338,229,362,302
373.png,nasal tip,96,317,105,352
373.png,midbrain,232,108,322,179
373.png,thalami,150,129,233,233
373.png,NT,326,155,384,541
373.png,CM,319,152,351,247
373.png,nasal bone,104,287,121,330
373.png,IT,284,169,316,242
374.png,IT,317,361,367,446
374.png,nasal skin,104,250,115,274
374.png,thalami,154,357,254,472
374.png,midbrain,246,425,363,505
374.png,CM,370,373,397,444
374.png,nasal tip,101,227,109,256
374.png,NT,410,2,472,457
374.png,palate,157,207,226,312
374.png,nasal bone,112,241,126,290
44.png,palate,207,329,270,430
44.png,CM,391,242,426,295
44.png,nasal skin,152,368,165,384
44.png,midbrain,300,164,390,251
44.png,NT,436,284,468,415
44.png,thalami,214,188,299,289
44.png,nasal tip,149,379,156,404
44.png,nasal bone,162,343,174,380
44.png,IT,357,224,400,288
1552.png,nasal skin,100,394,109,413
1552.png,palate,141,353,223,463
1552.png,nasal tip,97,417,104,438
1552.png,nasal bone,111,377,123,416
1552.png,CM,330,281,367,343
1552.png,IT,306,288,336,345
1552.png,midbrain,245,224,341,300
1552.png,NT,372,282,406,452
1552.png,thalami,182,235,254,325
905.png,IT,334,296,368,355
905.png,midbrain,273,236,372,314
905.png,NT,409,303,451,675
905.png,thalami,193,245,277,336
905.png,CM,364,254,403,361
905.png,nasal tip,87,411,94,440
905.png,nasal skin,94,393,102,429
905.png,nasal bone,104,388,119,430
4.png,palate,115,281,184,384
4.png,nasal tip,69,329,80,360
4.png,thalami,141,150,208,242
4.png,NT,357,213,393,416
4.png,midbrain,211,132,312,212
4.png,IT,267,181,309,277
4.png,CM,315,149,341,340
375.png,IT,353,408,379,458
375.png,nasal skin,158,310,167,337
375.png,nasal tip,153,283,160,314
375.png,thalami,226,397,297,487
375.png,NT,389,56,429,449
375.png,midbrain,293,442,381,508
375.png,CM,380,385,410,471
375.png,nasal bone,165,313,176,349
375.png,palate,207,263,262,362
376.png,nasal tip,115,357,126,388
376.png,CM,345,226,361,305
376.png,IT,306,226,348,286
376.png,midbrain,260,164,355,231
376.png,nasal bone,129,329,141,362
376.png,NT,377,246,416,469
376.png,thalami,186,176,266,264
376.png,palate,165,303,238,428
377.png,midbrain,285,154,377,219
377.png,NT,378,210,435,551
377.png,nasal tip,147,333,156,357
377.png,nasal skin,151,317,158,339
377.png,nasal bone,159,295,172,339
377.png,palate,182,285,254,381
377.png,thalami,217,166,287,249
377.png,IT,337,204,373,256
377.png,CM,374,194,399,285
378.png,thalami,147,389,237,500
378.png,NT,375,189,411,426
378.png,midbrain,233,435,328,535
378.png,IT,290,399,329,457
378.png,CM,326,397,352,482
378.png,nasal skin,93,287,101,314
378.png,nasal tip,88,264,96,291
378.png,nasal bone,103,294,116,333
378.png,palate,141,253,205,350
379.png,nasal tip,113,233,120,266
379.png,nasal skin,118,256,125,287
379.png,nasal bone,124,262,140,294
379.png,thalami,183,344,250,439
379.png,NT,355,8,399,382
379.png,midbrain,248,393,333,455
379.png,IT,302,337,329,408
379.png,CM,331,306,359,418
379.png,palate,157,217,222,306
45.png,nasal tip,179,357,186,378
45.png,thalami,260,220,310,291
45.png,NT,399,295,420,419
45.png,midbrain,305,227,378,275
45.png,IT,349,271,371,312
45.png,CM,370,297,386,331
45.png,palate,213,325,269,406
45.png,nasal bone,193,327,204,352
45.png,nasal skin,184,336,195,361
906.png,thalami,176,376,242,470
906.png,NT,365,158,395,458
906.png,midbrain,239,411,323,481
906.png,IT,293,378,323,422
906.png,palate,151,253,222,351
906.png,nasal bone,121,301,134,338
906.png,nasal skin,110,292,123,321
906.png,nasal tip,107,274,116,300
906.png,CM,315,376,354,467
907.png,NT,349,7,409,425
907.png,midbrain,234,412,329,497
907.png,IT,291,372,327,439
907.png,CM,325,336,353,440
907.png,nasal tip,53,267,62,294
907.png,nasal skin,63,298,71,323
907.png,nasal bone,73,301,86,340
907.png,palate,101,229,172,332
907.png,thalami,157,383,237,500
380.png,IT,287,232,328,272
380.png,CM,324,227,351,290
380.png,palate,131,329,194,426
380.png,nasal bone,99,341,112,370
380.png,nasal skin,88,344,98,373
380.png,nasal tip,85,379,94,398
380.png,midbrain,229,186,321,255
380.png,NT,364,370,401,616
380.png,thalami,168,189,239,279
381.png,palate,118,167,204,293
381.png,midbrain,247,333,334,400
381.png,nasal tip,63,211,71,232
381.png,nasal skin,72,236,79,265
381.png,CM,340,295,372,356
381.png,IT,307,300,334,361
381.png,thalami,179,319,250,408
381.png,nasal bone,81,232,98,264
382.png,nasal tip,99,273,110,302
382.png,nasal bone,121,317,134,350
382.png,CM,381,384,413,496
382.png,midbrain,289,435,383,500
382.png,NT,426,11,457,334
382.png,thalami,214,402,290,503
382.png,IT,349,408,387,454
382.png,nasal skin,112,294,121,341
382.png,palate,155,265,226,359
383.png,palate,120,333,186,432
383.png,nasal bone,85,333,96,380
383.png,nasal skin,72,352,83,381
383.png,thalami,157,175,238,293
383.png,NT,344,218,402,673
383.png,midbrain,238,173,334,246
383.png,IT,298,237,336,297
383.png,CM,330,216,358,326
383.png,nasal tip,69,371,76,402
384.png,CM,351,258,377,316
384.png,NT,384,248,427,560
384.png,midbrain,255,188,347,266
384.png,IT,307,248,345,304
384.png,thalami,191,224,259,328
384.png,nasal tip,130,425,138,450
384.png,nasal skin,132,412,141,432
384.png,palate,179,371,238,474
384.png,nasal bone,141,395,152,429
46.png,midbrain,225,101,337,185
46.png,thalami,148,149,234,252
46.png,NT,378,293,430,555
46.png,IT,288,159,331,222
908.png,nasal skin,90,244,97,271
908.png,palate,139,201,192,291
908.png,NT,355,0,407,394
908.png,midbrain,237,367,337,437
908.png,IT,299,329,348,395
908.png,CM,334,341,365,403
908.png,nasal tip,87,225,92,252
908.png,thalami,173,337,239,436
908.png,nasal bone,99,245,112,294
1553.png,CM,365,341,387,412
1553.png,nasal tip,115,285,120,302
1553.png,midbrain,276,414,360,487
1553.png,nasal bone,129,303,142,336
1553.png,palate,161,255,221,336
1553.png,IT,331,373,354,435
1553.png,thalami,203,393,277,476
1553.png,NT,401,251,429,443
1553.png,nasal skin,120,306,127,325
909.png,nasal tip,139,314,149,346
909.png,nasal bone,155,281,167,318
909.png,palate,186,269,254,379
909.png,nasal skin,144,295,153,324
909.png,IT,352,157,387,217
909.png,thalami,216,128,291,222
909.png,NT,415,138,455,366
909.png,midbrain,288,111,389,178
909.png,CM,392,116,405,231
821.png,thalami,194,369,269,453
821.png,palate,179,219,238,324
821.png,nasal tip,135,245,140,272
821.png,NT,365,28,434,435
821.png,midbrain,273,407,361,457
821.png,CM,364,336,391,467
821.png,IT,323,356,356,421
385.png,nasal tip,139,349,144,378
385.png,CM,375,171,396,252
385.png,IT,340,195,369,250
385.png,midbrain,275,149,373,218
385.png,NT,417,217,454,567
385.png,thalami,207,163,280,261
385.png,nasal bone,152,305,164,350
385.png,palate,191,295,246,388
385.png,nasal skin,141,330,151,355
386.png,NT,379,285,400,452
386.png,nasal tip,103,393,112,430
386.png,thalami,166,217,257,326
